Ranking,raceId,circuitId,name,rating,year
1,879,18,Brazilian Grand Prix,9.45,2012
2,1020,10,German Grand Prix,9.44,2019
3,843,17,Chinese Grand Prix,9.24,2011
4,906,7,Canadian Grand Prix,9.19,2014
5,910,11,Hungarian Grand Prix,9.14,2014
6,936,11,Hungarian Grand Prix,9.11,2015
7,942,69,United States Grand Prix,9.1,2015
8,847,7,Canadian Grand Prix,9.1,2011
9,902,3,Bahrain Grand Prix,9.1,2014
10,1066,71,Russian Grand Prix,9.04,2021
11,1044,5,Turkish Grand Prix,8.99,2020
12,1083,9,British Grand Prix,8.97,2022
13,1018,70,Austrian Grand Prix,8.88,2019
14,877,24,Abu Dhabi Grand Prix,8.85,2012
15,1046,3,Sakhir Grand Prix,8.84,2020
16,976,73,Azerbaijan Grand Prix,8.79,2017
17,867,12,European Grand Prix,8.78,2012
18,878,69,United States Grand Prix,8.77,2012
19,1029,18,Brazilian Grand Prix,8.77,2019
20,1006,69,United States Grand Prix,8.76,2018
21,35,18,Brazilian Grand Prix,8.76,2008
22,952,4,Spanish Grand Prix,8.71,2016
23,1062,11,Hungarian Grand Prix,8.7,2021
24,344,7,Canadian Grand Prix,8.67,2010
25,998,9,British Grand Prix,8.65,2018
26,862,17,Chinese Grand Prix,8.65,2012
27,1052,3,Bahrain Grand Prix,8.64,2021
28,338,1,Australian Grand Prix,8.64,2010
29,991,17,Chinese Grand Prix,8.62,2018
30,1019,9,British Grand Prix,8.56,2019
31,992,73,Azerbaijan Grand Prix,8.54,2018
32,1011,3,Bahrain Grand Prix,8.51,2019
33,861,2,Malaysian Grand Prix,8.45,2012
34,850,20,German Grand Prix,8.43,2011
35,1065,14,Italian Grand Prix,8.42,2021
36,1038,14,Italian Grand Prix,8.42,2020
37,927,2,Malaysian Grand Prix,8.37,2015
38,349,13,Belgian Grand Prix,8.37,2010
39,851,11,Hungarian Grand Prix,8.34,2011
40,1071,18,Sao Paulo Grand Prix,8.34,2021
41,340,17,Chinese Grand Prix,8.33,2010
42,990,3,Bahrain Grand Prix,8.32,2018
43,1002,14,Italian Grand Prix,8.31,2018
44,16,18,Brazilian Grand Prix,8.31,2009
45,1031,70,Austrian Grand Prix,8.28,2020
46,864,4,Spanish Grand Prix,8.27,2012
47,1059,34,French Grand Prix,8.23,2021
48,1095,18,Brazilian Grand Prix,8.2,2022
49,866,7,Canadian Grand Prix,8.2,2012
50,23,6,Monaco Grand Prix,8.18,2008
51,1023,14,Italian Grand Prix,8.18,2019
52,1008,18,Brazilian Grand Prix,8.18,2018
53,1053,21,Emilia-Romagna Grand Prix,8.17,2021
54,26,9,British Grand Prix,8.16,2008
55,31,14,Italian Grand Prix,8.15,2008
56,999,10,German Grand Prix,8.14,2018
57,997,70,Austrian Grand Prix,8.12,2018
58,956,70,Austrian Grand Prix,8.1,2016
59,1093,69,United States Grand Prix,8.04,2022
60,963,2,Malaysian Grand Prix,8.01,2016
61,343,5,Turkish Grand Prix,7.98,2010
62,1021,11,Hungarian Grand Prix,7.97,2019
63,849,9,British Grand Prix,7.96,2011
64,971,3,Bahrain Grand Prix,7.96,2017
65,934,9,British Grand Prix,7.95,2015
66,967,18,Brazilian Grand Prix,7.94,2016
67,1,1,Australian Grand Prix,7.94,2009
68,1075,77,Saudi Arabian Grand Prix,7.93,2022
69,973,4,Spanish Grand Prix,7.87,2017
70,909,10,German Grand Prix,7.86,2014
71,950,17,Chinese Grand Prix,7.85,2016
72,12,13,Belgian Grand Prix,7.85,2009
73,908,9,British Grand Prix,7.85,2014
74,883,3,Bahrain Grand Prix,7.83,2013
75,1074,3,Bahrain Grand Prix,7.83,2022
76,24,7,Canadian Grand Prix,7.81,2008
77,1084,70,Austrian Grand Prix,7.81,2022
78,1057,73,Azerbaijan Grand Prix,7.79,2021
79,985,69,United States Grand Prix,7.78,2017
80,842,2,Malaysian Grand Prix,7.78,2011
81,852,13,Belgian Grand Prix,7.77,2011
82,911,13,Belgian Grand Prix,7.76,2014
83,948,1,Australian Grand Prix,7.76,2016
84,953,6,Monaco Grand Prix,7.75,2016
85,30,13,Belgian Grand Prix,7.74,2008
86,1069,69,United States Grand Prix,7.72,2021
87,880,1,Australian Grand Prix,7.7,2013
88,846,6,Monaco Grand Prix,7.68,2011
89,1086,11,Hungarian Grand Prix,7.68,2022
90,890,11,Hungarian Grand Prix,7.68,2013
91,860,1,Australian Grand Prix,7.66,2012
92,888,20,German Grand Prix,7.64,2013
93,872,14,Italian Grand Prix,7.64,2012
94,18,1,Australian Grand Prix,7.61,2008
95,968,24,Abu Dhabi Grand Prix,7.59,2016
96,855,22,Japanese Grand Prix,7.57,2011
97,975,7,Canadian Grand Prix,7.55,2017
98,353,35,South Korean Grand Prix,7.54,2010
99,970,17,Chinese Grand Prix,7.53,2017
100,853,14,Italian Grand Prix,7.49,2011
